MW;1-2;2-2;3-2;4-2;5-2;6-2;7-2;8-2;9-2;10-2;11-2;12-2;13-2;14-2;15-2;16-2;17-2;18-2;19-2;20-2;21-2;22-2;23-2
1,0392;19,7343;22,0393;30,0798;34,3423;31,3817;33,0939;39,3848;25,5752;29,6329;33,5159;34,7467;35,0547;36,7682;33,7012;37,7986;28,8307;31,386;39,7133;18,4217;22,6156;31,7192;29,3633;39,3228
1,1071;18,4279;23,0316;28,2377;32,8532;33,4929;34,6767;37,5575;28,326;32,2612;37,1604;28,9451;36,732;33,6954;33,4569;39,0002;25,5784;33,7529;40,4339;21,5914;23,3342;31,684;27,7158;39,5556
1,175;20,9513;21,8539;28,2794;34,4859;33,0272;35,3345;39,3267;28,1623;30,7116;34,8505;28,7772;39,0393;36,9359;34,1445;37,5485;25,3722;32,7445;36,3893;21,4054;24,0657;31,0756;22,3835;40,9637
1,2429;21,9879;20,7177;30,1166;34,1432;31,3612;35,1547;39,015;25,7414;32,8749;31,4872;33,7146;34,474;42,5891;35,2701;38,7864;25,0073;35,4445;30,9667;19,1387;22,1321;29,4499;23,6098;43,3522
1,3108;20,5182;19,6975;29,8573;33,0888;30,9348;31,4255;40,8515;24,1148;34,4904;30,7906;31,5964;32,3392;44,4976;37,0223;40,4965;27,7231;36,7458;36,8101;21,4405;26,5498;30,2079;25,9902;38,5736
1,3787;18,3625;20,9569;28,5083;29,0861;33,0216;33,8763;41,0259;27,6725;32,4186;31,8993;30,1478;30,7938;43,7189;34,6239;37,0254;27,788;34,4601;36,3868;21,127;25,4559;28,2269;19,9986;36,2349
1,4466;16,3774;21,4539;23,1474;28,0589;32,8052;35,5;41,9603;28,1131;32,3708;29,5518;32,8623;35,8683;41,5222;32,3158;37,3231;29,662;34,6101;37,7363;18,2432;22,0622;23,5837;16,69;39,9401
1,5145;15,1351;17,2805;25,5696;26,0966;32,0227;34,2016;44,626;26,2299;31,2117;30,6247;28,5806;32,2576;39,588;29,7781;37,8316;34,0367;28,9388;33,1701;17,193;22,4262;24,8296;15,4949;36,3632
1,5824;13,1429;17,8093;22,8766;27,2532;27,4032;36,058;41,083;24,74;31,9917;32,0586;31,7463;28,7507;40,5088;28,4748;32,6412;29,4195;25,5278;28,7839;16,235;21,9371;24,9813;18,7554;31,8876
1,6503;12,2441;14,6828;19,0467;26,8994;28,7158;33,6767;36,3175;26,1395;30,2906;30,1896;31,3601;26,5215;41,9659;30,0531;37,1543;27,4822;25,1339;28,9439;16,3298;21,5264;27,3795;18,1574;32,1683
1,7182;10,1158;18,2835;21,2868;29,5004;26,8443;32,5333;38,2776;25,8997;27,1294;30,9019;24,0353;25,2867;41,3817;29,9269;46,7569;27,5749;27,9626;31,8125;16,8143;20,8332;28,2599;20,9199;31,4712
1,7861;8,8077;16,3189;24,5286;28,639;24,7628;35,6229;39,1572;27,086;23,2297;29,275;26,1699;28,5147;40,0596;30,3739;42,2956;24,1954;27,2931;31,0198;16,9623;17,5643;25,5759;20,3957;31,4004
1,854;8,1236;13,6727;23,4938;25,0153;22,9722;35,8813;39,819;28,8446;19,4713;30,1344;24,728;25,9399;38,6093;31,1012;35,6282;26,7232;28,278;32,778;18,4446;16,6882;24,8832;19,4436;30,8178
1,9219;8,6526;11,1929;24,3911;24,332;21,6819;35,8722;41,0069;26,2896;20,3722;28,3832;18,9947;24,7738;41,174;28,0129;42,7692;34,0379;28,5928;35,9325;20,7325;17,8997;20,9786;23,2122;31,9043
1,9898;11,0641;12,9809;23,5792;24,0712;21,4197;35,0852;43,9671;26,59;20,7996;26,9102;20,3369;24,2297;43,1322;26,9971;40,5367;35,2205;23,7446;33,6181;18,3931;18,2338;18,5463;18,4154;32,0236
2,0577;9,6676;10,1726;22,2487;26,0446;28,3737;34,5009;46,469;25,206;20,2527;25,2537;19,6222;23,8418;38,3278;30,3669;42,2496;31,9931;30,8264;33,315;16,1658;17,8599;17,2731;12,1471;31,5867
2,1255;9,1551;8,5628;20,4222;26,6077;29,7824;35,5598;45,8176;24,9168;18,842;29,0331;18,0756;23,507;37,0744;32,4149;47,7731;30,8343;28,2676;32,2337;14,5686;15,9549;17,8585;14,325;31,0884
2,1934;10,0986;13,0099;21,4376;28,5974;28,8655;33,2318;48,4571;33,013;21,0297;32,8097;20,2446;27,708;41,8638;33,9788;54,1239;30,3283;29,686;33,56;16,1298;15,1375;18,0852;14,0128;34,5559
2,2613;11,5899;14,9609;24,7637;32,9398;32,6631;34,2749;49,4788;37,1046;22,0706;34,8598;24,0558;27,47;47,0474;31,339;48,5691;34,1502;32,8081;35,7704;20,3563;15,2469;15,8581;16,4707;35,7174
2,3292;12,4527;16,426;24,8236;35,1633;32,219;41,3077;49,5443;41,401;20,1948;35,346;28,7291;26,0313;46,2096;30,5891;53,8934;37,9009;31,179;35,077;22,4697;14,3817;16,5141;14,4597;38,2855
2,3971;14,0443;20,571;24,7;36,3342;32,8774;47,0724;52,3379;43,0783;19,9068;39,2783;27,1441;25,9186;47,5244;36,1949;59,8026;36,3002;30,4628;37,6384;23,8719;13,5432;20,0055;21,5969;41,7839
2,465;15,5131;25,4744;26,7702;40,1888;36,2447;50,1875;56,5662;44,7277;24,3537;41,6353;30,9262;29,3884;49,9194;38,8107;67,3018;38,1979;37,2442;37,082;27,6423;14,9444;27,6;23,7957;41,9434
2,5329;16,7707;29,1098;35,0402;46,7639;40,1007;54,5085;60,3142;50,51;28,2655;44,2807;36,8667;33,2399;50,0709;44,2038;74,2289;36,5477;38,23;43,7539;31,0883;18,6738;28,4033;25,7662;40,5649
2,6008;21,8302;30,2975;41,3686;53,8144;47,9735;60,9045;65,0256;62,0809;30,4785;47,5059;39,859;36,7959;47,7572;52,593;72,4391;42,555;39,9851;47,9407;37,7945;20,7399;26,8182;28,7554;42,1828
2,6687;25,5572;33,2344;46,9074;59,2914;56,2524;67,8826;70,7657;64,7186;33,1105;53,1064;50,9824;38,0914;51,4089;56,2657;83,9616;47,4349;42,4008;48,2949;46,5172;25,1458;25,8035;40,3296;46,4812
2,7366;28,8729;37,2079;48,7928;62,8534;64,3584;72,4022;79,8582;71,1059;32,7517;59,999;59,6448;43,0593;57,7231;63,2857;83,3314;51,5157;44,8295;48,5717;46,6055;29,9241;26,5877;51,5012;54,0298
2,8045;32,6385;39,131;50,6015;67,0169;68,3097;80,1589;87,6443;79,6309;36,5037;66,3032;54,8707;46,4536;61,5378;63,3242;96,3944;48,2181;48,8313;51,7974;45,795;32,9042;33,2014;49,5132;63,1591
2,8724;34,2256;42,157;53,436;70,8125;70,963;91,6005;92,9669;87,9526;42,8923;70,062;53,506;52,9939;65,7115;66,7362;102,5641;55,7939;52,7441;53,9349;47,1689;38,6358;36,5462;50,7942;68,1065
2,9403;38,4371;49,664;57,3483;74,2917;77,6914;98,5251;101,1267;101,0581;35,4629;76,3562;57,2243;54,2793;72,0875;62,5202;107,4046;60,2696;53,4548;55,8612;48,1508;40,5405;40,2195;57,6976;68,5828
3,0082;42,4124;53,3063;62,6518;71,4782;90,4257;104,1773;109,0364;104,3767;33,0279;81,8266;55,4413;52,0773;74,2526;64,054;103,8364;57,7725;58,3437;60,6232;48,6368;40,3333;42,4445;58,8649;67,9801
3,0761;43,8041;54,8824;64,6295;79,0462;96,8099;105,3556;113,895;108,6405;38,0546;82,122;55,2547;48,0313;72,7142;69,3138;105,3977;57,2478;59,4407;61,8465;47,7802;40,3482;43,0437;58,9214;72,5631
3,144;46,1797;59,391;66,739;80,7948;102,416;111,8279;119,1579;111,3669;33,7302;81,9654;59,7243;46,6235;72,3608;70,9355;112,7913;57,7008;64,6055;62,9499;43,9629;39,6943;46,1242;55,0846;77,2526
3,2119;45,1224;62,5795;71,6961;82,7658;106,6475;114,4878;129,0296;117,31;35,2923;78,3468;60,2023;53,1751;82,9613;68,6551;115,0699;55,9483;67,9819;58,3144;44,8051;36,8271;48,8369;57,2238;75,3103
