MW;24-2;25-2;26-2;27-2;28-2;29-2;30-2;31-2;32-2;33-2;34-2;35-2;36-2;37-2
1,0431;18,9953;13,7389;18,013;29,2394;18,635;21,6676;28,4821;44,7367;23,4047;32,8592;35,0662;30,5544;26,8369;24,9387
1,108;21,2394;14,2638;15,8417;25,7294;18,5062;17,3226;26,7454;41,4222;18,3108;31,7511;33,8951;32,2702;25,9466;24,0687
1,1729;23,0477;14,4375;15,4747;17,3516;21,2449;18,557;25,5027;37,8547;18,9567;29,0544;33,9006;30,1833;12,9809;25,7657
1,2378;23,1896;8,5864;13,7539;17,983;19,868;20,223;28,8855;36,7619;21,5402;33,2186;33,9434;33,8912;13,3475;30,1822
1,3027;19,3667;8,5233;12,581;20,0141;18,7532;24,3934;29,7228;34,2216;20,0053;36,8729;30,0281;32,2036;11,1294;27,1425
1,3676;18,0781;10,6962;13,5285;27,0684;21,2192;23,9705;26,6958;30,9535;18,3219;38,8584;28,3605;31,6208;6,8418;27,9103
1,4325;17,7443;16,8616;14,9668;25,3095;20,1949;21,3748;25,9843;28,3601;18,2556;30,9398;29,3032;31,6685;3,2187;27,3109
1,4974;17,8481;11,4617;12,0626;19,4392;17,4476;26,1819;22,718;28,6352;15,7692;30,973;34,0385;28,5305;12,6029;27,5603
1,5622;16,292;11,5749;12,2322;16,342;17,5744;24,0261;19,2221;29,9502;14,9304;31,7021;32,3544;25,3065;8,9217;32,0497
1,6271;18,3709;8,6985;12,9654;15,267;18,4709;22,6783;19,9573;32,9479;12,7339;31,0454;30,5025;23,115;1,6235;31,2447
1,692;22,864;11,0552;9,7227;18,7924;19,9777;18,8353;17,8201;30,7289;10,9807;34,6636;33,6469;19,5417;3,6292;30,7481
1,7569;20,9126;12,6002;6,2737;12,4293;15,2714;13,734;14,8882;26,8268;6,0375;29,4771;28,1097;15,7269;2,2547;25,0517
1,8218;15,169;2,9736;8,4164;7,2736;17,3659;11,204;16,2653;27,8083;10,6263;25,1394;33,1235;11,1866;-0,4533;23,6121
1,8867;16,7138;-1,4344;10,0174;9,7269;12,6317;11,1381;16,0903;32,3818;10,2016;29,3559;29,2436;6,7534;-1,9633;29,7913
1,9516;16,3401;2,3099;13,5415;8,8136;10,3226;11,7303;13,9846;34,8989;13,2081;28,658;33,8296;9,4639;0,0165;29,3319
2,0165;14,1552;-1,8653;16,3588;8,591;9,9465;13,7098;13,7246;28,0349;17,8642;27,2972;32,3106;9,3325;0,5255;29,9617
2,0814;15,8796;-5,183;9,4261;10,808;10,0571;14,8105;15,9611;27,0963;10,7509;26,5955;35,213;-0,8323;2,7293;32,2142
2,1463;20,9482;-4,1614;7,4746;8,3169;10,5245;13,3435;15,2098;26,5008;8,1454;26,3942;37,2124;-6,5076;4,9319;31,0856
2,2111;25,161;-6,7221;8,753;6,5774;17,3294;16,1239;14,2711;26,0308;13,1819;28,1457;44,8877;-6,5153;14,3676;30,6397
2,276;27,6319;-8,8472;14,4879;8,6217;13,7062;15,306;16,9034;31,1484;13,297;32,8498;45,784;-6,0329;10,9021;31,3697
2,3409;30,5352;-9,8848;18,118;8,8914;12,5084;21,1245;17,5003;34,8681;16,4582;38,6766;45,819;-4,5442;10,0727;32,7586
2,4058;31,0207;-10,5609;19,6851;10,2866;12,8728;22,9862;20,933;39,1782;19,6408;45,1291;48,6017;-4,8614;18,3659;35,5262
2,4707;31,5618;-7,4976;20,6804;12,3364;14,7856;23,3634;24,0883;44,7194;29,8492;49,7298;56,7155;-7,9948;24,8072;37,3089
2,5356;36,6759;-4,861;27,1903;15,4753;17,8329;22,4735;30,5642;44,7587;31,0218;55,5209;58,8091;-10,4855;21,1517;36,1452
2,6005;43,7597;-4,098;32,057;25,5736;21,1223;25,4826;33,5813;47,2961;29,8565;62,4466;56,3952;-12,7125;19,3;39,4316
2,6654;49,2216;-1,2049;36,1567;24,3133;25,6584;24,7278;38,0046;48,3365;33,3695;67,8295;61,9657;-11,637;26,902;39,2078
2,7303;52,1828;1,5265;41,3837;26,2876;35,5223;28,6954;44,9766;49,7443;38,5776;80,195;71,8527;-5,6235;32,9516;40,6267
2,7952;56,611;1,3187;44,6573;30,1366;42,9607;32,5821;49,7208;54,0486;49,6127;86,5406;75,2114;-5,837;38,4889;35,6587
